Test,Treatment,Shoot_number,Shoot,Mature_leaves,Mature_stems,Roots
P,+0P,,,,,
P,+0P,,,,,
P,+0P,,,,,
P,+0P,,,,,
P,+6P,,,,,
P,+6P,,,,,
P,+6P,,,,,
P,+6P,,,,,
P,+30P,,,,,
P,+30P,,,,,
P,+30P,,,,,
P,+30P,,,,,
P,+60P,,,,,
P,+60P,,,,,
P,+60P,,,,,
P,+60P,,,,,
P,Ca-P,,,,,
P,Ca-P,,,,,
P,Ca-P,,,,,
P,Ca-P,,,,,
P,Fe-P,,,,,
P,Fe-P,,,,,
P,Fe-P,,,,,
P,Fe-P,,,,,
P,Al-P,,,,,
P,Al-P,,,,,
P,Al-P,,,,,
P,Al-P,,,,,
BC,Control,,,,,
BC,Control,,,,,
BC,Control,,,,,
BC,Control,,,,,
BC,Chaff,,,,,
BC,Chaff,,,,,
BC,Chaff,,,,,
BC,Chaff,,,,,
BC,Tea 10%,,,,,
BC,Tea 10%,,,,,
BC,Tea 10%,,,,,
BC,Tea 10%,,,,,
BC,Tea 30%,,,,,
BC,Tea 30%,,,,,
BC,Tea 30%,,,,,
BC,Tea 30%,,,,,
